q1,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_99,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_98,q3_99,q3_98_text,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q4_10,q4_11,q4_12,dv1_1,dv1_2,dv2_1,dv2_2,dv3_1,dv3_2,dv4_1,dv4_2,dv11_1,dv11_2,dv17_1,dv17_2,dv30_1,dv30_2,dv6_1,dv6_2,dv28_1,dv28_2,dv5_1,dv5_2,dv31_1,dv31_2,dv7_1,dv7_2,dv8_1,dv8_2,dv12_1,dv12_2,dv13_1,dv13_2,dv14_1,dv14_2,dv15_1,dv15_2,dv16_1,dv16_2,dv10_1,dv10_2,dv18_1,dv18_2,dv19_1,dv19_2,dv33_1,dv33_2,dv20_1,dv20_2,dv21_1,dv21_2,dv22_1,dv22_2,dv23_1,dv23_2,dv24_1,dv24_2,dv25_1,dv25_2,dv26_1,dv26_2,dv27_1,dv27_2,dv29_1,dv29_2,dv32_1,dv32_2,dv9_1,dv9_2,dv34_1,dv34_2,q5_1,q5_2,q5_3,q5_4,q5_5,q5_6,q5_98,q5_98_text,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_99,q6_99_text,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_99,q7_99_text,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_99,q8_99_text,q9,q10,q11,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9,q13_10,q13_11,q13_12,q13_13,q13_14,q13_15,q13_16,q13_17,q13_18,q13_19,q13_99,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q14_7,q14_8,q14_9,q14_10,q14_11,q14_12,q14_13,q14_14,q14_15,q14_16,q14_17,q14_18,q14_19,q14_20,q15_1,q15_2,q15_3,q15_4,q16,q17,q18,q19,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_7_text,q20,q21_1,q21_2,q21_3,q21_4,q22,prolific_pid,test1,test2,test3,test4,test11,test17,test30,test6,test28,test5,test31,test7,test8,test12,test13,test14,test15,test16,test10,test18,test19,test33,test20,test21,test22,test23,test24,test25,test26,test27,test29,test32,test9,test34
1,1,1,1,1,1,1, , ,1,1, , , ,1,1,1,1,1, , , ,2,3,1,1,2,3,1,4,3,3,1,1,3,4, , , , ,4,5, , , , ,4,4, , ,3,4,4,4, , , , , , ,4,4, , ,5,4, , , , , , , , ,4,4, , , , ,5,5, , ,4,4, , , , , , ,4,3,5,5, , ,4,4, , , , , ,1,1,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , ,3,4, , , ,1,1,1,1,1,1, ,1,1, , ,1,1, ,1, , , , , ,3,3,4,3,3,3, ,3,3, , ,4,2, ,2, , , , , , , , ,99,2,1997,1, , , , , , , , ,2, , , , ,13,66b1565f5d730b88d93eede9,1E, , ,4A, , ,30F, ,28E,5D, , , ,12B, ,14F, , , , ,19D, , ,21B, ,23F, , , ,27C,29E, ,9B, 
1,1,1,1,1,1,1, , ,1,1, ,1,1,1,1,1, ,1, , , ,1,3,2,2,2,3,3,2,3,3,3,3,4,3, , , , ,4,3, , , , ,4,3, , ,4,3, , ,4,4, , ,4,3, , , , , , , , ,4,3, , ,4,2, , , , , , , , ,4,3,4,3, , , , ,4,3, , ,4,3, , ,4,3, , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , , ,1, , , , , , , , ,2,2, ,3, , , , , , , ,1, ,1, , , , , , , , , , , , , , , , , ,3, ,3, , , , , , , , , , , , , ,2,4,1,1991,2, , , , , , , , ,2, , , , ,48,5e27868c5cbbcc0b3599574b,1D, , ,4E, , ,30B, ,28B, ,31B, ,8E, , , , ,16E, ,18F, , , , ,22E,23E, , ,26D, ,29D, ,9B, 
1,1,1,1,1,1,1,1, ,1,1,1, , ,1,1,1, ,1, , , ,1,1,2,1,1,1,4,4,4,1,1,1, , , , ,5,5,5,5, , , , ,5,3, , ,5,5,5,5, , ,5,5, , , , ,4,4, , , , , , , , ,5,4, , , , , , , , ,5,4, , ,5,5, , ,5,4, , ,5,5, , , , ,5,4,1,1, , , , ,1,Just Bare,1,1,1, , , , , , ,1, , , , , ,1, , , , , , , , , , , ,2,2,2, , , ,1, ,1,1,1,1, , , ,1,1,1, ,1,1,1, , , , ,2, ,2,3,2,2, , , ,2,3,2, ,3,1,2, , ,2,1,2, ,7,1,1985,2, , , , , , , , ,1, , ,1, ,5,66bffd8c97a80ac91e1087e0, , ,3B,4E, , ,30D, ,28A,5D, ,7C, , ,13E, , , , ,18A, , , , ,22B, ,24F, ,26B, ,29F, , ,34E
1,1,1,1,1,1,1, , , ,1, ,1,1,1,1, , ,1, , , ,1,1,1,1,1,2,4,4,3,3,1,1, , , , ,5,5, , ,5,5, , ,4,2,5,4, , ,5,4, , ,5,5, , , , , , , , ,5,5, , ,5,5, , , , , , ,5,5, , , , , , ,1,2, , , , ,4,4, , ,4,4,5,5, , , , , , , , , , ,1,1, , , , , , , , , , , , , , , , ,1, , , , , , , , , ,3, ,4,1,1, , ,1, , , ,1,1, ,1, , , ,1, , , , ,3,4, , ,4, , , ,4,3, ,3, , , ,3, , , , , ,2, ,3,6,1,1981,2, , , , , , ,1,No restrictions,2, , , , ,48,651f0d6c26e75447ae818a36, , ,3F, ,11A, ,30A,6A, ,5C, ,7E, , , , ,15A, ,10C, , , ,20A, , , ,24B, , ,27F, ,32D,9E, 
1,1,1,1,1,1,1,1, ,1, , , , ,1,1,1,1, , , , ,2,4,1,1,4,4,4,4,4,4,4,1,4,3, , , , , , ,1,1, , ,4,1, , ,2,5, , ,4,4, , ,4,4, , , , , , , , ,1,3, , ,3,1, , , , , , ,1,3, , ,4,1, , , , ,4,1, , ,4,4, , ,2,2, , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1,1,1,1, ,1, ,1,1, ,1,1, , ,1, , , , , ,6,5,5,6, ,5, ,3,3, ,4,5, , ,3, , , , , ,7,1,1991,2, , , , , , , , ,1,1, , , ,22,5dcc2827b1dabb8be6a9048e,1F, , , ,11F, ,30D, ,28B, ,31F, ,8A, , , , ,16B, ,18D, , , ,21A, ,23D, , ,26A, ,29F, ,9C, 
1,1,1,1,1,1,1,1, ,1, , , , ,1,1, , ,1, , , ,1,2,2,1,1,4,4,4,4,4,1,1, , ,2,4, , ,2,4, , , , ,5,1, , ,5,4,2,4, , , , , , ,5,5, , ,2,4, , , , ,2,4, , , , , , , , , , ,5,5, , ,5,5, , , , ,4,5, , ,4,4, , ,4,4,1, , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , ,1, , , , , , ,1,1, ,1,1, , , , , , , , ,3, , , , , , ,3,3, ,3,3, , , , , , , ,3, , , ,7,2,1977,2, , , , , , , , ,1,1, , , ,23,67000ed3ffa3938b2cc81087, ,2D, ,4D, , ,30C, ,28A,5F, , , ,12F, ,14A, , ,10D, , , , , ,22C, ,24E, , ,27B, ,32C, ,34B
1,1,1, , ,1, , , ,1, , , , , ,1,1, , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , ,5,5,5,5, , , , ,5,5, , ,5,5, , ,5,5,5,5, , , , , , , , ,5,5, , , , , , ,5,5, , ,5,5, , , , , , , , ,5,5,5,5, , ,5,5, , ,5,5, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , , ,1, , , ,1, ,1, , ,1, , , , , , ,1, , , ,1, , , ,1, ,1, ,1, , , ,1,1,1983,2,1, , , , , , , ,1, , ,1,1,36,67e0a5c5859b4693d7b0a567, , ,3E,4C, , ,30E, ,28F, ,31C,7D, , , , ,15C, , , ,19A, ,20A, , , , ,25E,26C, ,29B, ,9A, 
1,1,1,1,1,1,1, , ,1,1, , ,1,1,1,1,1,1, , , ,3,2,1,1,2,4,4,4,4,3,3,1,2,2, , , , , , ,1,1, , ,1,1, , ,1,1,2,4, , , , ,3,4, , , , , , , , ,1,1, , ,4,2, , , , , , ,3,4, , , , ,1,1, , , , ,2,2,2,2, , ,2,2, , , , ,1, , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,2,2, , , ,1, , , ,1, , ,1, , ,1,1, , , ,1, , , , ,4, , , ,4, , ,4, , ,4,4, , , ,4, , , , , , , ,7,2,1970,2, , , , , , ,1,none,1, , , ,1,31,60b3e6ad448226548d21fc4d,1F, , , ,11D, ,30D, ,28D,5B, , ,8F, , , , ,16F, ,18E, , , ,21A, , ,24D, , ,27D,29D, ,9D, 
1,1,1,1,1,1,1,1, , ,1, , ,1,1,1,1,1, , , , ,1,1,1,1,2,1,2,4,4,2,1,1, , , , ,3,4, , ,4,4, , ,4,2,4,5, , ,4,5, , , , , , ,3,4, , ,4,5, , , , , , ,4,2, , , , , , , , ,4,2, , , , ,4,2,1,3, , ,4,4, , , , ,3,4, , , , , , , , , , ,1, , , ,1, , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , ,1, , , , ,1, ,1, ,1, , , , , , , , , , , , , , , ,1, ,1, ,2, , , , , , , , ,7,2,1985,1, , , , , , , , ,1, , ,1, ,10,6733b5e257da4b8525bdcae7, , ,3D, ,11E, ,30B,6F, ,5F, , , ,12A, ,14D, , , ,18B, , , , ,22B, , ,25D,26A, ,29F, , ,34E
1,1,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1, , , ,1,3,1,1,3,4,4,4,4,4,1,1,5,5, , , , , , ,5,5, , ,5,3,5,5, , ,5,5, , ,5,5, , , , , , , , ,5,5, , ,5,5, , , , , , , , ,5,5, , , , , , ,5,3,5,5, , ,5,5, , ,5,5, , ,1, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , ,1,1,1, , , , , , ,1,1, , ,1, , , , , , ,2,1,3, , , , , , ,1,2, , ,2, , , , ,1, , , ,7,1,1989,2, , , , , , , , ,2, , , , ,42,66e5e0262fb2c24edceb8e26,1C, , , ,11C, ,30A,6E, ,5A, ,7B, , , , ,15C, ,10B, , , , ,21E, , , ,25A,26D, ,29B, ,9F, 
2,1,1,1,1, ,1,1, , ,1, , ,1, , ,1,1, , , , ,1,2,2,4,1,4,4,4,2,1,2,1, , , , ,5,4, , ,4,4, , ,3,3,4,5, , ,4,4, , , , ,5,3, , , , , , ,4,4, , , , , , ,5,4, , , , ,5,5, , , , , , ,5,2,2,1, , , , ,2,2, , ,4,4, , , , , , , , ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , , , ,1, , , ,1, ,1, ,1,1,1, , , , ,3, , , , ,3, , , ,3, , , ,2,2,2, , , , , ,3, , ,7,3,1985,2,1, , , , , , , ,2, , , , ,36,5a907927873cda0001dc4719, , ,3A, ,11F, ,30E,6A, ,5C, , ,8C, , , ,15E, , , ,19D, , ,21C, , , ,25C,26C, , ,32F, ,34A
1,1,1,1,1,1,1,1, ,1, , , , , ,1, , , , , , ,4,1,4,1,4,4,4,4,4,3,3,3, , , , ,5,5,4,5, , , , ,5,4, , ,4,5, , ,4,5,5,4, , , , , , , , ,4,5, , , , , , ,4,4, , ,4,4, , , , ,4,3, , , , ,4,5, , , , ,4,4, , ,4,4, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , ,1, , , , ,1,1, , , , , , , , , , , , , ,3, , , , ,2,2, , , , , , , , , , , ,7,2,1980,2, , , , , , , , ,1, , , ,1,5,5f4d5f9f835880a2aca8b996, , ,3C,4B, , ,30F, ,28C, ,31D,7A, , , , ,15B, , , ,19F, ,20C, , ,23C, , ,26B, , ,32C, ,34F
1,1,1,1,1,1,1, , ,1, , , , , , , , ,1, , , ,1,4,1,1,4,4,4,4,4,4,1,1, , , , ,4,4,4,5, , , , ,5,3,5,5, , , , ,5,3, , ,5,4, , , , , , , , ,3,2, , , , , , ,3,3,3,3, , , , , , , , ,1,3, , ,5,4,4,4, , , , ,5,4, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , ,7,1,1976,1, , , , , , , , ,2, , , , ,33,5d29d6bd30fa6f0015cd4a75, , ,3A,4D, , ,30E,6A, , ,31E, ,8A, , , , ,16A, , , ,33C,20D, , , , ,25F, ,27E,29E, , ,34D
2,1, ,1,1,1,1, , , ,1, , , , , , , , , , , ,1,2,1,1,2,2,2,2,2,2,2,1,5,5, , , , , , ,1,1, , ,5,3, , ,5,5,5,5, , ,5,5, , , , , , , , , , ,1,3, , ,5,3, , , , , , ,5,5, , , , ,1,1, , , , ,4,5, , ,5,5, , ,5,5, , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,3, , , , , , ,1, , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,7,1,1990,1, , , , , , , , ,2, , , , ,33,63d161e70272bba9f3f70980,1C, , , ,11C, ,30B, ,28B,5D, ,7E, , , , , ,16C, ,18B, , , ,21A, , ,24D, , ,27A, ,32C, ,34B
1,1,1,1,1,1,1,1, ,1, , ,1,1,1,1,1,1,1, , , ,1,2,1,1,2,1,2,3,2,1,1,1, , ,3,2, , ,2,2, , , , ,2,2,2,2, , , , ,2,4, , ,4,3, , ,4,3, , , , , , , , ,4,3, , , , ,1,3, , , , , , ,3,3, , , , ,4,2, , ,3,3, , ,2,2, ,1, ,1, ,1, , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,1, , ,3, , ,3, , , , ,1, , , , ,1, , , , , , , , ,1, , , , , ,3, , , , ,3, , , , , , , , ,3, , , , ,3,7,1,1992,1, , , , , , , , ,2, , , , ,38,559347f6fdf99b790feb6435, ,2B, ,4C, , ,30C,6D, , ,31D, ,8B, ,13B, , , , ,18C, , ,20F, , , ,24B, , ,27C, ,32A, ,34B
2,1,1,1,1,1,1, , ,1, , , ,1,1,1, ,1, , , , ,1,1,1,1,1,4,4,1,3,4,1,4, , , , ,5,5,5,4, , , , ,5,2,4,5, , ,4,5, , ,4,5, , , , , , , , ,5,4, , ,3,5, , , , , , , , , , ,4,4, , , , ,5,1, , ,3,4,4,5, , , , ,4,5, , , ,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , ,1,1, , , ,1, ,1,1,1,1, ,1,1, ,1, , , , ,3,3, , , ,2, ,2,2,2,3, ,4,4, ,3, , , , , , , ,7,2,1995,2, , , , , , , , ,1, , ,1, ,34,63d13bce0971871b9ff88f56, , ,3E,4A, , ,30C,6B, ,5B, ,7E, , , , ,15F, ,10A, , , , , ,22E, , ,25A, ,27B,29E, , ,34B
1,1,1,1,1,1,1,1, ,1, , , , , ,1,1, , , , , ,1,2,1,1,1,3,4,4,4,4,1,1, , , , ,2,2, , ,2,4, , ,2,2, , ,1,4,2,3, , , , ,1,3, , , , , , ,2,5, , , , ,2,2, , , , , , , , ,2,5, , ,2,5, , , , ,2,4,1,3, , ,2,5, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , ,1, , , ,1,1, ,1, , , , , , , , , , , , ,6, , , ,4,6, ,5, , , , , , , , , , , , ,7,2,1977,2, , , , , , , , ,2, , , , ,36,5d7ff85ffec5620017b07c40, , ,3B, ,11D, ,30D, ,28E,5A, , ,8D, , , ,15A, , ,18A, , , , ,22F, ,24A, , ,27C,29C, ,9C, 
1,1,1,1,1,1,1, , ,1, , , , ,1,1,1, ,1, , , ,1,2,1,1,2,4,1,4,2,1,1,1, , ,4,5, , ,4,5, , , , ,3,1,3,3, , ,3,5, , , , , , ,4,5,4,3, , , , , , , , , , , , ,1,1, , , , ,1,3, , ,4,5, , ,1,1, , , , ,4,3,4,4, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1, , ,1,1, ,1, , , ,1,1,1, , ,1, ,2,2,2,2, , ,2,2, ,2, , , ,2,3,2, , ,5, , , , , ,7,2,1981,2, , , , , , , , ,2, , , , ,22,66fc36e5fd0dba6207da546c, ,2C, ,4E, , ,30F,6F, ,5F, , , ,12C,13F, , , , , , ,33C, , ,22C, ,24B, ,26C, , ,32F,9B, 
1,1,1,1,1,1,1,1, ,1, , , , ,1,1,1,1,1, , , ,1,1,4,1,1,2,4,4,4,1,2,2,4,4, , , , , , ,5,4, , ,5,5,5,5, , ,5,5, , , , ,5,4, , ,5,5, , , , , , , , , , , , ,5,4, , ,4,5, , , , ,1,1, , ,5,5, , ,5,5, , ,5,5, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , , , , , , ,1, , , , ,1, , , , , ,1, , , , , , , , ,1, , , , ,1, , , , , ,2, , , , , , , , ,7,2,1985,1, , , , , , , , ,2, , , , ,37,65f4de464a8635751f0c14f2,1E, , , ,11D, ,30F,6E, ,5E, , ,8C, ,13F, , , , , , ,33B, ,21D, , ,24C, ,26D, ,29D, ,9A, 
