Test #,Insight Being Tested
1,Happy Hour Date Nights at Home 
2,(Movie Nights) 
3,(Showing TGIF as kid-approved make parents more likely to buy) 
4,(Positioning TGIF as the go-to party snack or ultimate crowd pleaser make consumers more likely to buy) 
5,(Highlighting speed and convenience drive purchase intent) 
6,(Framing TGIF as the ultimate late-night bite boost intent) 
7,(Positioning TGIF as a pick-me-up after a bad day increase buying likelihood) 
8,(Showing TGIF as a comfort food hero improve purchase intent) 
9,(Nostalgia-driven messaging make consumers more likely to buy TGIF) 
10,(Importance of cheese pull to consumers) 
11,(Showing up in cultural moments boosts engagement and brand favorability.) 
12,(Partnering with family-oriented influencers makes TGIF frozen snacks feel more relatable & trustworthy)
13,(Potato Skins: Tastes like and are real potatoes.) 
14,(Potato Skins are better than potato chips.) 
15,(Potato Skins: A go to side dish for all) 
16,(Potato skins are a personal canvas) 
17,(Consumers focus more on quantity than serving size) 
18,(Mozzarella sticks being a source of protein) 
19,(A signature dipping sauce makes the product feel more premium and worth the price) 
20,(Offering a Party Size pack makes TGIF snacks better for group settings) 
21,(Bags Cue Value: this tests both value and party size messaging) 
22,(Competitive patterning: Other brands mention that their products are made with real cheese; which may be impacting consumer perception) 
23,(TGIF Jalapeno poppers belief: The TGIF raspberry habanero sauce elevates the experience) 
24,Jalapeno popper form belief: The ultimate flavor balance: spicy and cheesy 
25,(Jalapeno Poppers form belief: Full on flavor; light on carbs) 
26,Competitive patterning: Competitor packaging for chicken bites includes mentions of protein; which may be influencing consumer decision-making 
27,Competitive patterning: Chicken quality is an important decision factor; and other brands note their chicken is natural 
28,(Instacart shoppers were more frequently observed in the frozen snacks isle than other aisles during shopper intercepts) 
29,(Adaptability drives purchase intent for chicken bites) 
30,(High protein makes chicken bites feel guilt-free) 
31,(Chicken Bites function as a meal because of their protein content) 
32,(Crispiness is an essential source of quality for Chicken Bites) 
33,(A signature dipping sauce makes the product feel more premium and worth the price.) 
34,(Different Nostalgia-driven messaging make consumers more likely to buy TGIF) 
