Test,Control_DV1_%,Treatment_B_DV1_%,Treatment_B_DV1_Net_Increase,Treatment_B_DV1_P_Value,Treatment_C_DV1_%,Treatment_C_DV1_Net_Increase,Treatment_C_DV1_P_Value,Treatment_D_DV1_%,Treatment_D_DV1_Net_Increase,Treatment_D_DV1_P_Value,Treatment_E_DV1_%,Treatment_E_DV1_Net_Increase,Treatment_E_DV1_P_Value,Treatment_F_DV1_%,Treatment_F_DV1_Net_Increase,Treatment_F_DV1_P_Value,Control_DV2_%,Treatment_B_DV2_%,Treatment_B_DV2_P_Value,Treatment_C_DV2_%,Treatment_C_DV2_P_Value,Treatment_D_DV2_%,Treatment_D_DV2_P_Value,Treatment_E_DV2_%,Treatment_E_DV2_P_Value,Treatment_F_DV2_%,Treatment_F_DV2_P_Value
1,53.16,45.58,-7.59,0.2265,55.97,2.81,0.6968,52.23,-0.94,0.9574,53.29,0.12,1.0000,62.42,9.26,0.1214,68.99,66.67,0.7558,71.07,0.7780,67.52,0.8733,65.13,0.5476,71.97,0.6472
2,60.39,60.26,-0.13,1.0000,61.33,0.94,0.9593,60.00,-0.39,1.0000,65.54,5.15,0.4195,68.15,7.76,0.1901,85.06,85.90,0.9627,86.00,0.9453,85.33,1.0000,85.81,0.9836,88.54,0.4613
3,59.60,63.87,4.27,0.5154,54.49,-5.12,0.4296,64.05,4.45,0.4962,62.75,3.14,0.6567,64.20,4.59,0.4714,74.83,70.97,0.5274,58.97,0.0047,67.97,0.2316,64.71,0.0723,75.31,1.0000
4,65.95,60.53,-5.42,0.2673,62.39,-3.56,0.4859,58.48,-7.47,0.1217,63.52,-2.42,0.6476,62.22,-3.73,0.4638,78.45,76.75,0.7460,80.53,0.6628,73.66,0.2764,75.82,0.5666,74.22,0.3406
5,67.87,48.48,-19.39,0.0000,56.84,-11.04,0.0198,77.78,9.90,0.0231,56.25,-11.62,0.0152,60.50,-7.37,0.1220,,,,,,,,,,,
6,69.10,65.67,-3.43,0.4891,56.39,-12.71,0.0065,61.37,-7.73,0.0982,68.22,-0.88,0.9160,63.32,-5.78,0.2243,,,,,,,,,,,
7,68.12,62.25,-5.87,0.3330,58.60,-9.53,0.1002,61.04,-7.09,0.2321,58.75,-9.38,0.1042,66.45,-1.67,0.8443,71.88,68.87,0.6490,70.06,0.8169,70.13,0.8287,70.62,0.9017,70.32,0.8575
8,69.43,71.61,2.19,0.7647,64.05,-5.37,0.3768,59.60,-9.82,0.0923,65.38,-4.04,0.5207,68.92,-0.51,1.0000,66.24,70.32,0.5140,62.75,0.5998,54.30,0.0429,60.90,0.3870,64.86,0.8946
9,72.34,64.81,-7.53,0.0977,66.95,-5.39,0.2392,66.38,-5.96,0.1933,48.02,-24.32,0.0000,60.26,-12.08,0.0079,,,,,,,,,,,
9_filtered,69.12,72.97,3.86,0.7481,65.22,-3.90,0.7611,63.64,-5.48,0.6028,55.13,-13.99,0.1179,71.21,2.09,0.9394,73.53,71.62,0.9472,66.67,0.4899,59.74,0.1150,61.54,0.1732,72.73,1.0000
10,61.95,66.67,4.72,0.5423,69.03,7.08,0.3274,61.02,-0.93,0.9921,62.39,0.45,1.0000,63.89,1.94,0.8733,81.42,82.05,1.0000,82.30,1.0000,83.05,0.8785,87.18,0.3072,79.63,0.8687
11,65.94,65.52,-0.42,1.0000,47.23,-18.70,0.0001,57.21,-8.73,0.0680,52.10,-13.84,0.0032,51.93,-14.01,0.0030,,,,,,,,,,,
12_filtered,69.05,64.62,-4.43,0.6926,72.15,3.10,0.7928,73.03,3.99,0.6816,69.23,0.18,1.0000,76.19,7.14,0.3870,64.29,67.69,0.7944,60.76,0.7619,74.16,0.2140,75.64,0.1612,73.81,0.2427
12,62.09,61.33,-0.76,0.9860,70.13,8.04,0.1715,62.26,0.17,1.0000,67.57,5.48,0.3823,70.78,8.69,0.1359,62.09,64.00,0.8219,62.34,1.0000,67.92,0.3363,69.59,0.2112,68.18,0.3173
13,57.89,65.22,7.32,0.3158,63.64,5.74,0.4576,67.24,9.35,0.1840,60.91,3.01,0.7466,63.56,5.66,0.4539,57.89,65.22,0.3158,63.64,0.4576,71.55,0.0424,60.00,0.8537,68.64,0.1182
14,58.47,51.75,-6.72,0.3698,63.06,4.59,0.5652,67.26,8.78,0.2135,66.67,8.19,0.2490,61.21,2.73,0.7696,65.25,60.53,0.5422,70.27,0.5030,76.11,0.0960,73.68,0.2111,70.69,0.4528
15,59.48,50.83,-8.65,0.2284,56.14,-3.34,0.7042,46.96,-12.53,0.0757,46.67,-12.82,0.0655,52.07,-7.42,0.3086,62.07,57.50,0.5601,64.91,0.7559,55.65,0.3913,58.33,0.6505,67.77,0.4335
16,48.74,61.74,13.00,0.0619,56.30,7.56,0.2991,53.98,5.24,0.5047,55.08,6.35,0.3967,57.76,9.02,0.2096,47.90,62.61,0.0331,63.03,0.0266,64.60,0.0151,56.78,0.2155,58.62,0.1295
17,65.08,64.75,-0.34,1.0000,62.50,-2.58,0.5699,60.14,-4.95,0.2492,,,,,,,60.68,60.68,1.0000,65.20,0.2921,58.76,0.6977,,,,
18,74.14,70.63,-3.50,0.6422,73.45,-0.69,1.0000,70.59,-3.55,0.6438,74.78,0.64,1.0000,65.52,-8.62,0.1980,33.62,29.37,0.5660,34.51,0.9976,40.34,0.3520,29.57,0.6021,30.17,0.6726
19,72.50,69.37,-3.13,0.7049,66.96,-5.54,0.4336,73.91,1.41,0.9226,76.79,4.29,0.5497,76.07,3.57,0.6315,56.67,63.06,0.3919,58.26,0.9083,64.35,0.2845,66.96,0.1397,67.52,0.1124
20,67.08,75.32,8.24,0.1364,73.08,6.00,0.2972,72.90,5.82,0.3146,74.32,7.24,0.2039,71.90,4.81,0.4219,73.91,82.47,0.0894,80.77,0.1860,80.00,0.2502,82.43,0.0952,78.43,0.4201
21,74.03,79.62,5.59,0.3009,75.00,0.97,0.9454,60.27,-13.75,0.0157,75.33,1.31,0.8964,66.67,-7.36,0.1957,,,,,,,,,,,
22,72.55,76.88,4.33,0.4529,76.47,3.92,0.5119,77.42,4.87,0.3924,78.21,5.66,0.3067,66.89,-5.66,0.3458,50.33,60.00,0.1081,58.82,0.1683,60.00,0.1113,60.90,0.0792,47.30,0.6816
23,58.60,58.06,-0.53,1.0000,59.09,0.49,1.0000,52.90,-5.70,0.3688,53.29,-5.31,0.4092,52.98,-5.62,0.3800,63.69,54.19,0.1117,55.19,0.1582,49.03,0.0125,53.29,0.0817,53.64,0.0938
24,51.02,51.63,0.61,1.0000,52.32,1.30,0.9139,55.77,4.75,0.4758,54.19,3.17,0.6623,49.35,-1.67,0.8616,61.22,60.78,1.0000,59.60,0.8668,62.82,0.8668,55.48,0.3711,57.14,0.5467
25,52.26,57.23,4.97,0.4401,51.90,-0.36,1.0000,51.63,-0.62,1.0000,50.00,-2.26,0.7796,56.25,3.99,0.5499,24.52,32.08,0.1736,30.38,0.3005,20.26,0.4480,27.33,0.6667,31.87,0.1851
26,66.67,69.10,2.43,0.6444,67.86,1.19,0.8645,65.50,-1.16,0.8687,69.83,3.16,0.5282,66.39,-0.28,1.0000,34.63,47.21,0.0078,38.84,0.4045,39.74,0.3000,45.69,0.0197,45.80,0.0178
27,71.05,64.22,-6.83,0.1429,66.53,-4.53,0.3413,70.04,-1.01,0.8941,65.55,-5.51,0.2393,69.16,-1.89,0.7355,53.07,56.47,0.5236,57.20,0.4228,55.51,0.6690,56.30,0.5434,58.15,0.3192
28,60.17,57.21,-2.97,0.5812,58.52,-1.66,0.7894,62.77,2.60,0.6327,55.46,-4.71,0.3527,63.40,3.23,0.5337,89.18,82.97,0.0736,89.08,1.0000,89.61,1.0000,84.72,0.1998,92.34,0.3080
29,60.87,67.39,6.52,0.1735,75.00,14.13,0.0017,72.22,11.35,0.0126,69.92,9.05,0.0505,66.96,6.09,0.2069,,,,,,,,,,,
30,75.19,63.91,-11.28,0.0063,72.18,-3.01,0.4907,65.43,-9.76,0.0175,76.23,1.04,0.8589,73.31,-1.88,0.6917,,,,,,,,,,,
31,62.98,65.81,2.83,0.5863,73.71,10.73,0.0168,69.75,6.77,0.1441,69.87,6.89,0.1409,67.56,4.58,0.3512,,,,,,,,,,,
32,54.89,70.09,15.20,0.0011,69.75,14.85,0.0012,70.74,15.85,0.0006,74.34,19.44,0.0000,66.81,11.91,0.0107,,,,,,,,,,,
33,78.81,77.78,-1.04,0.9726,74.78,-4.03,0.5661,61.82,-17.00,0.0076,72.17,-6.64,0.3047,67.23,-11.59,0.0625,,,,,,,,,,,
34,73.09,63.79,-9.30,0.0422,58.70,-14.40,0.0017,66.24,-6.85,0.1361,62.72,-10.37,0.0240,59.13,-13.96,0.0024,,,,,,,,,,,
34_filtered,77.03,72.50,-4.53,0.6455,65.62,-11.40,0.1957,80.25,3.22,0.7697,64.81,-12.21,0.1873,61.19,-15.83,0.0634,66.22,72.50,0.5023,60.94,0.6414,74.07,0.3715,53.70,0.2115,56.72,0.3244
