Test,Control_DV1_%,Treatment_B_DV1_%,Treatment_B_DV1_Net_Increase,Treatment_B_DV1_P_Value,Treatment_C_DV1_%,Treatment_C_DV1_Net_Increase,Treatment_C_DV1_P_Value,Treatment_D_DV1_%,Treatment_D_DV1_Net_Increase,Treatment_D_DV1_P_Value,Treatment_E_DV1_%,Treatment_E_DV1_Net_Increase,Treatment_E_DV1_P_Value,Treatment_F_DV1_%,Treatment_F_DV1_Net_Increase,Treatment_F_DV1_P_Value,Control_DV2_%,Treatment_B_DV2_%,Treatment_B_DV2_P_Value,Treatment_C_DV2_%,Treatment_C_DV2_P_Value,Treatment_D_DV2_%,Treatment_D_DV2_P_Value,Treatment_E_DV2_%,Treatment_E_DV2_P_Value,Treatment_F_DV2_%,Treatment_F_DV2_P_Value
1,53.16,45.58,-7.59,0.9067,55.97,2.81,0.3083,52.23,-0.94,0.5658,53.29,0.12,0.4912,62.42,9.26,0.0484,,,,,,,,,,,
2,60.39,60.26,-0.13,0.5095,61.33,0.94,0.4333,60.00,-0.39,0.5275,65.54,5.15,0.1778,68.15,7.76,0.0771,85.06,85.90,0.4179,86.00,0.4087,85.33,0.4738,85.81,0.4274,88.54,0.1840
3,59.60,63.87,4.27,0.2221,54.49,-5.12,0.8165,64.05,4.45,0.2132,62.75,3.14,0.2878,64.20,4.59,0.2024,74.83,70.97,0.7759,58.97,0.9985,67.97,0.9066,64.71,0.9726,75.31,0.4616
4,65.95,60.53,-5.42,0.8856,62.39,-3.56,0.7859,58.48,-7.47,0.9496,63.52,-2.42,0.7095,62.22,-3.73,0.7962,78.45,76.75,0.6680,80.53,0.2910,73.66,0.8839,75.82,0.7522,74.22,0.8554
5,67.87,48.48,-19.39,1.0000,56.84,-11.04,0.9925,77.78,9.90,0.0089,56.25,-11.62,0.9943,60.50,-7.37,0.9500,,,,,,,,,,,
6,69.10,65.67,-3.43,0.7848,56.39,-12.71,0.9976,61.37,-7.73,0.9599,68.22,-0.88,0.5810,63.32,-5.78,0.9050,77.25,68.67,0.9815,74.01,0.7905,74.25,0.7748,83.05,0.0581,73.80,0.8054
7,68.12,62.25,-5.87,0.8605,58.60,-9.53,0.9605,61.04,-7.09,0.9046,58.75,-9.38,0.9589,66.45,-1.67,0.6237,71.88,68.87,0.7180,70.06,0.6383,70.13,0.6328,70.62,0.5972,70.32,0.6189
8,69.43,71.61,2.19,0.3366,64.05,-5.37,0.8415,59.60,-9.82,0.9639,65.38,-4.04,0.7764,68.92,-0.51,0.5381,66.24,70.32,0.2201,62.75,0.7392,54.30,0.9838,60.90,0.8363,64.86,0.5994
9,72.34,64.81,-7.53,0.9602,66.95,-5.39,0.8989,66.38,-5.96,0.9190,48.02,-24.32,1.0000,60.26,-12.08,0.9971,69.36,65.67,0.8028,61.09,0.9706,62.13,0.9506,53.30,0.9998,56.33,0.9982
10,61.95,66.67,4.72,0.2287,69.03,7.08,0.1325,61.02,-0.93,0.5574,62.39,0.45,0.4723,63.89,1.94,0.3832,81.42,82.05,0.4507,82.30,0.4319,83.05,0.3733,87.18,0.1161,79.63,0.6305
11,65.94,65.52,-0.42,0.5379,47.23,-18.70,1.0000,57.21,-8.73,0.9726,52.10,-13.84,0.9988,51.93,-14.01,0.9989,78.17,72.84,0.9076,66.38,0.9978,67.25,0.9957,65.97,0.9984,69.10,0.9865
12,62.09,61.33,-0.76,0.5538,70.13,8.04,0.0689,62.26,0.17,0.4875,67.57,5.48,0.1607,70.78,8.69,0.0539,62.09,64.00,0.3659,62.34,0.4823,67.92,0.1409,69.59,0.0855,68.18,0.1322
13,57.89,65.22,7.32,0.1283,63.64,5.74,0.1906,67.24,9.35,0.0722,60.91,3.01,0.3239,63.56,5.66,0.1897,57.89,65.22,0.1283,63.64,0.1906,71.55,0.0152,60.00,0.3751,68.64,0.0452
14,58.47,51.75,-6.72,0.8472,63.06,4.59,0.2396,67.26,8.78,0.0843,66.67,8.19,0.0994,61.21,2.73,0.3357,65.25,60.53,0.7708,70.27,0.2095,76.11,0.0352,73.68,0.0822,70.69,0.1875
15,59.48,50.83,-8.65,0.9085,56.14,-3.34,0.6952,46.96,-12.53,0.9716,46.67,-12.82,0.9756,52.07,-7.42,0.8739,62.07,57.50,0.7619,64.91,0.3280,55.65,0.8381,58.33,0.7202,67.77,0.1802
16,48.74,61.74,13.00,0.0229,56.30,7.56,0.1223,53.98,5.24,0.2134,55.08,6.35,0.1652,57.76,9.02,0.0836,,,,,,,,,,,
17,65.08,64.75,-0.34,0.5343,62.50,-2.58,0.7430,60.14,-4.95,0.8917,,,,,,,60.68,60.68,0.5000,65.20,0.1278,58.76,0.6814,,,,
18,74.14,70.63,-3.50,0.7279,73.45,-0.69,0.5468,70.59,-3.55,0.7276,74.78,0.64,0.4555,65.52,-8.62,0.9230,33.62,29.37,0.7606,34.51,0.4437,40.34,0.1441,29.57,0.7453,30.17,0.7125
19,72.50,69.37,-3.13,0.6987,66.96,-5.54,0.8212,73.91,1.41,0.4039,76.79,4.29,0.2276,76.07,3.57,0.2658,56.67,63.06,0.1618,58.26,0.4029,64.35,0.1151,66.96,0.0536,67.52,0.0428
20,67.08,75.32,8.24,0.0533,73.08,6.00,0.1225,72.90,5.82,0.1300,74.32,7.24,0.0813,71.90,4.81,0.1779,73.91,82.47,0.0330,80.77,0.0727,80.00,0.0999,82.43,0.0348,78.43,0.1744
21,74.03,79.62,5.59,0.1221,75.00,0.97,0.4218,60.27,-13.75,0.9944,75.33,1.31,0.3970,66.67,-7.36,0.9215,82.47,91.72,0.0076,85.62,0.2235,80.82,0.6429,84.67,0.3031,80.13,0.7006
22,72.55,76.88,4.33,0.1903,76.47,3.92,0.2165,77.42,4.87,0.1627,78.21,5.66,0.1251,66.89,-5.66,0.8563,50.33,60.00,0.0430,58.82,0.0682,60.00,0.0442,60.90,0.0309,47.30,0.6997
23,58.60,58.06,-0.53,0.5380,59.09,0.49,0.4650,52.90,-5.70,0.8436,53.29,-5.31,0.8255,52.98,-5.62,0.8387,63.69,54.19,0.9557,55.19,0.9361,49.03,0.9955,53.29,0.9680,53.64,0.9631
24,51.02,51.63,0.61,0.4579,52.32,1.30,0.4117,55.77,4.75,0.2047,54.19,3.17,0.2912,49.35,-1.67,0.6135,61.22,60.78,0.5310,59.60,0.6122,62.82,0.3879,55.48,0.8434,57.14,0.7635
